depcity,descity,date,no,company,dep,des,start,end,time,dis,plane,price,discount,meal
北京-太原,北京-太原,2018/5/1,MU5294,中国东方航空公司,北京首都机场,太原武宿机场,16:35,17:55,1小时20分钟,522,波音737(中),260,2.4折,无
北京-太原,北京-太原,2018/5/1,MU5298,中国东方航空公司,北京首都机场,太原武宿机场,20:40,21:55,1小时15分钟,522,波音737(中),260,2.4折,有
北京-太原,北京-太原,2018/5/1,MU5300,中国东方航空公司,北京首都机场,太原武宿机场,22:35,23:55,1小时20分钟,522,波音737(中),260,2.4折,无
北京-太原,北京-太原,2018/5/1,CA1145,中国国际航空公司,北京首都机场,太原武宿机场,7:05,8:25,1小时20分钟,522,波音737(中),420,3.9折,无
北京-太原,北京-太原,2018/5/1,MU5292,中国东方航空公司,北京首都机场,太原武宿机场,10:00,11:15,1小时15分钟,522,波音737(中),550,5.1折,无
北京-太原,北京-太原,2018/5/1,MU5528,中国东方航空公司,北京首都机场,太原武宿机场,18:15,19:40,1小时25分钟,522,空客320(中),860,8折,无
北京-运城,北京-运城,2018/5/1,CA1139,中国国际航空公司,北京首都机场,运城关公机场,19:20,21:15,1小时55分钟,744,波音737(中),330,3.6折,有
北京-运城,北京-运城,2018/5/1,CA1237,中国国际航空公司,北京首都机场,运城关公机场,11:55,13:55,2小时,744,波音737(中),490,5.4折,有
北京-长治,北京-长治,2018/5/1,KN2925,中国联合航空公司,北京南苑机场,长治长治机场,8:15,9:45,1小时30分钟,665,波音737(中),429,4.7折,无
北京-长治,北京-长治,2018/5/1,KN2927,中国联合航空公司,北京南苑机场,长治长治机场,18:30,20:00,1小时30分钟,665,波音737(中),429,4.7折,无
北京-长治,北京-长治,2018/5/1,HU7649,海南航空股份有限公司,北京首都机场,长治长治机场,21:05,22:30,1小时25分钟,665,波音738(中),570,7.5折,无
北京-大同,北京-大同,2018/5/1,CA1119,中国国际航空公司,北京首都机场,大同云冈机场,6:55,8:05,1小时10分钟,305,波音737(中),250,3.7折,无
北京-吕梁,北京-吕梁,2018/5/1,MU2255,中国东方航空公司,北京首都机场,吕梁吕梁机场,7:00,8:15,1小时15分钟,583,波音737(中),170,2.5折,无
北京-吕梁,北京-吕梁,2018/5/1,MU2203,中国东方航空公司,北京首都机场,吕梁吕梁机场,15:25,16:40,1小时15分钟,583,波音737(中),280,4.1折,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA8395,中国国际航空公司,北京首都机场,呼和浩特白塔机场,21:30,23:00,1小时30分钟,444,波音737(中),540,7.5折,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,KN2261,中国联合航空公司,北京南苑机场,呼和浩特白塔机场,13:10,14:15,1小时5分钟,444,波音737(中),611,8.5折,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,KN2259,中国联合航空公司,北京南苑机场,呼和浩特白塔机场,19:00,20:05,1小时5分钟,444,波音737(中),611,8.5折,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA1111,中国国际航空公司,北京首都机场,呼和浩特白塔机场,6:05,7:35,1小时30分钟,444,波音737(中),630,8.8折,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,HU7175,海南航空股份有限公司,北京首都机场,呼和浩特白塔机场,21:25,22:50,1小时25分钟,444,波音787(大),645,全价经济舱,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA1117,中国国际航空公司,北京首都机场,呼和浩特白塔机场,8:55,10:25,1小时30分钟,444,空客321(中),710,全价经济舱,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA1105,中国国际航空公司,北京首都机场,呼和浩特白塔机场,16:25,17:55,1小时30分钟,444,波音738(中),710,全价经济舱,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA1101,中国国际航空公司,北京首都机场,呼和浩特白塔机场,20:00,21:30,1小时30分钟,444,波音738(中),710,全价经济舱,无
北京-呼和浩特,北京-呼和浩特,2018/5/1,CA1115,中国国际航空公司,北京首都机场,呼和浩特白塔机场,21:15,22:50,1小时35分钟,444,波音737(中),710,全价经济舱,无
北京-包头,北京-包头,2018/5/1,JD5117,首都航空有限公司,北京首都机场,包头二里半机场,21:25,22:55,1小时30分钟,579,空客319(中),435,5.4折,无
北京-包头,北京-包头,2018/5/1,HU7125,海南航空股份有限公司,北京首都机场,包头二里半机场,21:25,23:00,1小时35分钟,579,波音738(中),450,6.6折,无
北京-包头,北京-包头,2018/5/1,CA1135,中国国际航空公司,北京首都机场,包头二里半机场,6:10,7:45,1小时35分钟,579,波音737(中),480,5.9折,无
北京-包头,北京-包头,2018/5/1,CA1107,中国国际航空公司,北京首都机场,包头二里半机场,20:10,21:40,1小时30分钟,579,波音737(中),480,5.9折,无
北京-包头,北京-包头,2018/5/1,KN2905,中国联合航空公司,北京南苑机场,包头二里半机场,8:00,9:20,1小时20分钟,579,波音737(中),755,8.5折,无
